ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
5011141,中古マンション等,,5201,秋田県,秋田市,南通宮田,秋田,18,２ＬＤＫ,45,,,,平成3年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2016年第2四半期,改装済,,6.939519252618618
5008608,中古マンション等,,5201,秋田県,秋田市,南通築地,秋田,9,２ＬＤＫ,45,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第2四半期,未改装,,6.778151250383644
5005868,中古マンション等,,5201,秋田県,秋田市,千秋矢留町,秋田,18,２ＬＤＫ,65,,,,昭和62年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第3四半期,改装済,,6.892094602690481
5014551,中古マンション等,,5201,秋田県,秋田市,旭南,秋田,30分?60分,３ＬＤＫ,80,,,,平成18年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2012年第4四半期,未改装,,7.278753600952829
5019842,中古マンション等,,5201,秋田県,秋田市,手形,秋田,10,３ＬＤＫ,75,,,,平成18年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第1四半期,未改装,,7.361727836017593
5010007,中古マンション等,,5201,秋田県,秋田市,千秋久保田町,秋田,6,３ＬＤＫ,75,,,,,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第3四半期,未改装,,7.3222192947339195
5005677,中古マンション等,,5201,秋田県,秋田市,中通,秋田,13,３ＬＤＫ,70,,,,平成15年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第3四半期,未改装,,7.342422680822207
5019380,中古マンション等,,5201,秋田県,秋田市,中通,秋田,12,３ＬＤＫ,70,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第4四半期,未改装,,7.278753600952829
5000903,中古マンション等,,5201,秋田県,秋田市,新屋豊町,秋田,30分?60分,３ＬＤＫ,95,,,,平成13年,ＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2014年第4四半期,未改装,,7.278753600952829
5008432,中古マンション等,,5201,秋田県,秋田市,手形,秋田,6,３ＬＤＫ,65,,,,平成20年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第2四半期,未改装,,7.361727836017593
5005035,中古マンション等,,5201,秋田県,秋田市,中通,秋田,11,３ＬＤＫ,75,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第4四半期,改装済,,7.342422680822207
5009144,中古マンション等,,5201,秋田県,秋田市,中通,秋田,10,３ＬＤＫ,65,,,,平成9年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2016年第4四半期,未改装,,7.079181246047625
5002056,中古マンション等,,5201,秋田県,秋田市,旭南,秋田,30分?60分,２ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2017年第4四半期,未改装,,7.176091259055681
5003252,中古マンション等,,5201,秋田県,秋田市,千秋久保田町,秋田,8,４ＬＤＫ,80,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2021年第1四半期,未改装,,7.204119982655925
5014676,中古マンション等,,5201,秋田県,秋田市,大町,秋田,21,３ＬＤＫ,50,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第3四半期,未改装,,6.7923916894982534
5025064,中古マンション等,,5201,秋田県,秋田市,保戸野中町,秋田,20,４ＬＤＫ,90,,,,平成13年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2008年第4四半期,未改装,,7.380211241711606
